南下 Southbound													
車 次	行駛日	南港	台北	板橋	桃園	新竹	苗栗	台中	彰化	雲林	嘉義	台南	左營
Trans No.	Operation Day	Nangang	Taipei	Banqiao	Taoyuan	Hsinchu	Miaoli	Taichung	Changhua	Yunlin	Chiayi	Tainan	Zuoying
1557	5/6, 5/8	20:25	20:36	20:46	21:01	21:12	21:25	21:42					
687		20:35	20:46	20:55	21:10	21:22	─	21:48	─	─	22:14	22:33	22:45
1257	5/6, 5/8	20:40	20:51	20:59	─	─	─	21:40	─	─	─	22:18	22:30
1331	5/6	20:50	21:01	─	21:20	─	─	21:54	22:06	22:17	22:30	22:48	23:00
861		21:00	21:11	21:19	21:34	21:47	21:58	22:17	22:30	22:41	22:55	23:13	23:25
1691	5/6	21:10	21:21	21:29	21:43	21:56	─	22:25	─	─	22:50	23:07	23:20
165		21:20	21:31	21:39	─	─	─	22:20	─	─	─	─	23:05
693		21:30	21:41	21:50	22:05	22:17	─	22:43	─	─	23:09	23:28	23:40
333		21:45	21:56	─	22:15	─	─	22:49	23:01	23:12	23:24	23:42	23:55
1563	5/6, 5/8	21:55	22:05	22:14	22:27	22:38	22:52	23:10					
295		22:05	22:16	─	22:35	─	─	23:07	─	─	23:30	23:48	23:59
565		22:15	22:26	22:35	22:48	23:00	23:12	23:29					
567		22:50	23:00	23:08	23:21	23:32	23:43	23:59					
北上 Northbound													
車 次	行駛日	左營	台南	嘉義	雲林	彰化	台中	苗栗	新竹	桃園	板橋	台北	南港
Trans No.	Operation Day	Zuoying	Tainan	Chiayi	Yunlin	Changhua	Taichung	Miaoli	Hsinchu	Taoyuan	Banqiao	Taipei	Nangang
502							06:05	06:24	06:37	06:49	07:02	07:12	07:20
1504	5/6, 5/9						06:30	06:49	07:02	07:14	07:27	07:37	07:45
508							06:52	07:12	07:25	07:38	07:50	08:01	08:10
300		05:50	06:03	06:21	06:34	06:44	06:56	─	─	07:28	─	07:47	07:55
1510	5/6, 5/9						07:12	07:31	07:45	07:58	08:10	08:21	08:30
802		06:15	06:29	06:48	07:00	07:13	07:25	07:45	07:58	08:10	08:22	08:32	08:40
1202	5/6, 5/9	06:25	06:38	06:57	─	─	07:21	─	─	─	─	08:07	08:15
1602	5/6, 5/9	06:40	06:53	07:12	─	─	07:40	─	08:05	08:18	08:31	08:42	08:50
1302	5/6, 5/9	06:45	06:59	07:19	07:32	07:42	07:53	─	─	08:27	─	08:47	08:55
204		06:55	07:07	─	─	─	07:48	─	─	─	08:27	08:37	08:45
606		07:00	07:13	07:32	─	─	08:00	─	08:25	08:38	08:51	09:02	09:10
1514	5/6, 5/9						08:04	08:24	08:39	08:51	09:05	09:16	09:25
206		07:15	07:28	─	─	─	08:08	─	─	─	08:47	08:57	09:05
806		07:25	07:41	08:00	08:12	08:24	08:36	08:56	09:08	09:20	09:32	09:42	09:50
610		07:35	07:48	08:08	─	─	08:32	─	08:57	09:11	09:25	09:36	09:45
108		07:55	─	─	─	─	08:39	─	─	─	09:21	09:32	09:40
612		08:00	08:13	08:32	─	─	09:00	─	09:25	09:38	09:51	10:02	10:10
1210		08:15	08:28	─	─	─	09:08	─	─	─	09:47	09:57	10:05
810		08:25	08:41	09:00	09:12	09:24	09:36	09:56	10:08	10:20	10:32	10:42	10:50
616		08:35	08:48	09:08	─	─	09:32	─	09:57	10:11	10:25	10:36	10:45
112		08:55	─	─	─	─	09:39	─	─	─	10:21	10:32	10:40
618		09:00	09:13	09:32	─	─	10:00	─	10:25	10:38	10:51	11:02	11:10
1522	5/7						10:04	10:24	10:39	10:51	11:05	11:16	11:25
1214	5/7	09:15	09:28	─	─	─	10:08	─	─	─	10:47	10:57	11:05
814		09:25	09:41	10:00	10:12	10:24	10:36	10:56	11:08	11:20	11:32	11:42	11:50
1622	5/7~9	09:35	09:48	10:08	─	─	10:32	─	10:57	11:11	11:25	11:36	11:45
116		09:55	─	─	─	─	10:39	─	─	─	11:21	11:32	11:40
624		10:00	10:13	10:32	─	─	11:00	─	11:25	11:38	11:51	12:02	12:10
1218	5/7	10:15	10:28	─	─	─	11:08	─	─	─	11:47	11:57	12:05
818		10:25	10:41	11:00	11:12	11:24	11:36	11:56	12:08	12:20	12:32	12:42	12:50
628		10:35	10:48	11:08	─	─	11:32	─	11:57	12:11	12:25	12:36	12:45
120		10:55	─	─	─	─	11:39	─	─	─	12:21	12:32	12:40
630		11:00	11:13	11:32	─	─	12:00	─	12:25	12:38	12:51	13:02	13:10
822		11:25	11:41	12:00	12:12	12:24	12:36	12:56	13:08	13:20	13:32	13:42	13:50
1634	5/6	11:35	11:48	12:08	─	─	12:32	─	12:57	13:11	13:25	13:36	13:45
124		11:55	─	─	─	─	12:39	─	─	─	13:21	13:32	13:40
636		12:00	12:13	12:32	─	─	13:00	─	13:25	13:38	13:51	14:02	14:10
826		12:25	12:41	13:00	13:12	13:24	13:36	13:56	14:08	14:20	14:32	14:42	14:50
1640	5/6~8	12:35	12:48	13:08	─	─	13:32	─	13:57	14:11	14:25	14:36	14:45
128		12:55	─	─	─	─	13:39	─	─	─	14:21	14:32	14:40
642		13:00	13:13	13:32	─	─	14:00	─	14:25	14:38	14:51	15:02	15:10
1538	5/8						14:04	14:24	14:39	14:51	15:05	15:16	15:25
1230	5/8	13:15	13:28	─	─	─	14:08	─	─	─	14:47	14:57	15:05
830		13:25	13:41	14:00	14:12	14:24	14:36	14:56	15:08	15:20	15:32	15:42	15:50
1646	5/6~8	13:35	13:48	14:08	─	─	14:32	─	14:57	15:11	15:25	15:36	15:45
132		13:55	─	─	─	─	14:39	─	─	─	15:21	15:32	15:40
648		14:00	14:13	14:32	─	─	15:00	─	15:25	15:38	15:51	16:02	16:10
1542	5/8						15:04	15:24	15:39	15:51	16:05	16:16	16:25
1234	5/8	14:15	14:28	─	─	─	15:08	─	─	─	15:47	15:57	16:05
834		14:25	14:41	15:00	15:12	15:24	15:36	15:56	16:08	16:20	16:32	16:42	16:50
1652	5/6~8	14:35	14:48	15:08	─	─	15:32	─	15:57	16:11	16:25	16:36	16:45
1318	5/8	14:45	14:58	15:19	15:31	15:41	15:53	─	─	16:27	─	16:47	16:55
136		14:55	─	─	─	─	15:39	─	─	─	16:21	16:32	16:40
654		15:00	15:13	15:32	─	─	16:00	─	16:25	16:38	16:51	17:02	17:10
1546	5/6, 5/8						16:04	16:24	16:39	16:51	17:05	17:16	17:25
1238	5/6, 5/8	15:15	15:28	─	─	─	16:08	─	─	─	16:47	16:57	17:05
838		15:25	15:41	16:00	16:12	16:24	16:36	16:56	17:08	17:20	17:32	17:42	17:50
658		15:35	15:48	16:08	─	─	16:32	─	16:57	17:11	17:25	17:36	17:45
1320	5/6, 5/8	15:45	15:58	16:19	16:31	16:41	16:53	─	─	17:27	─	17:47	17:55
140		15:55	─	─	─	─	16:39	─	─	─	17:21	17:32	17:40
660		16:00	16:13	16:32	─	─	17:00	─	17:25	17:38	17:51	18:02	18:10
1550	5/6, 5/8						17:04	17:24	17:39	17:51	18:05	18:16	18:25
242		16:15	16:28	─	─	─	17:08	─	─	─	17:47	17:57	18:05
842		16:25	16:41	17:00	17:12	17:24	17:36	17:56	18:08	18:20	18:32	18:42	18:50
664		16:35	16:48	17:08	─	─	17:32	─	17:57	18:11	18:25	18:36	18:45
144		16:55	─	─	─	─	17:39	─	─	─	18:21	18:32	18:40
666		17:00	17:13	17:32	─	─	18:00	─	18:25	18:38	18:51	19:02	19:10
1554	5/6, 5/8						18:04	18:24	18:39	18:51	19:05	19:16	19:25
1246	5/6, 5/8~9	17:15	17:28	─	─	─	18:08	─	─	─	18:47	18:57	19:05
846		17:25	17:41	18:00	18:12	18:24	18:36	18:56	19:08	19:20	19:32	19:42	19:50
670		17:35	17:48	18:08	─	─	18:32	─	18:57	19:11	19:25	19:36	19:45
1324	5/8	17:45	17:58	18:19	18:31	18:41	18:53	─	─	19:27	─	19:47	19:55
148		17:55	─	─	─	─	18:39	─	─	─	19:21	19:32	19:40
672		18:00	18:13	18:32	─	─	19:00	─	19:25	19:38	19:51	20:02	20:10
1558	5/6, 5/8						19:04	19:24	19:39	19:51	20:05	20:16	20:25
1250	5/6, 5/8	18:15	18:28	─	─	─	19:08	─	─	─	19:47	19:57	20:05
850		18:25	18:41	19:00	19:12	19:24	19:36	19:56	20:08	20:20	20:32	20:42	20:50
676		18:35	18:48	19:08	─	─	19:32	─	19:57	20:11	20:25	20:36	20:45
1326	5/8	18:45	18:58	19:19	19:31	19:41	19:53	─	─	20:27	─	20:47	20:55
152		18:55	─	─	─	─	19:39	─	─	─	20:21	20:32	20:40
678		19:00	19:13	19:32	─	─	20:00	─	20:25	20:38	20:51	21:02	21:10
1562	5/8						20:04	20:24	20:39	20:51	21:05	21:16	21:25
1254	5/6, 5/8	19:15	19:28	─	─	─	20:08	─	─	─	20:47	20:57	21:05
854		19:25	19:41	20:00	20:12	20:24	20:36	20:56	21:08	21:20	21:32	21:42	21:50
1682	5/6~8	19:35	19:48	20:08	─	─	20:32	─	20:57	21:11	21:25	21:36	21:45
1328		19:45	19:58	20:19	20:31	20:41	20:53	─	─	21:27	─	21:47	21:55
156		19:55	─	─	─	─	20:39	─	─	─	21:21	21:32	21:40
684		20:00	20:13	20:32	─	─	21:00	─	21:25	21:38	21:51	22:02	22:10
1566	5/8						21:04	21:24	21:39	21:51	22:05	22:16	22:25
1258	5/8	20:15	20:28	─	─	─	21:08	─	─	─	21:47	21:57	22:05
858		20:25	20:41	21:00	21:12	21:24	21:36	21:56	22:08	22:20	22:32	22:42	22:50
1688	5/6~8	20:35	20:48	21:08	─	─	21:32	─	21:57	22:11	22:25	22:36	22:45
1330	5/8	20:45	20:58	21:19	21:31	21:42	21:54	─	─	22:27	─	22:47	22:55
160		20:55	─	─	─	─	21:39	─	─	─	22:21	22:32	22:40
1570	5/8						21:51	22:10	22:23	22:36	22:49	23:01	23:10
690		21:05	21:18	21:37	─	─	22:05	─	22:30	22:43	22:56	23:07	23:15
862		21:30	21:44	22:03	22:16	22:28	22:40	23:00	23:12	23:25	23:37	23:47	23:55
1264	5/6, 5/8	21:40	21:53	─	─	─	22:30	─	─	─	23:11	23:21	23:30
696		21:55	22:11	22:32	─	─	22:59	─	23:27	23:40	23:52	23:59	
294		22:10	22:23	─	─	─	23:03	─	─	─	23:42	23:52	23:59
598		22:55	23:08	23:27	23:39	23:49	23:59						
