part,1
name,普通股
,,7406,宇萌
,,7407,京冠
,,7412,生態綠
,,7413,多扶
,,7425,膳安
,,7428,戴維
,,7430,纖米
,,7431,健康
,,7435,健茂
,,7436,新奢華
,,7449,元皓
,,7450,那米亞
,,7451,頂豪
,,7455,樺緯
,,7457,月太湛
,,7458,網迅雲
,,7460,天空
,,7467,桀苙
,,7472,吉時
,,7485,福倫
,,7487,同仁生
,,7490,樂群
,,7491,車之輪
,,7492,一等一
,,7497,卡訊
,,7503,自由系統
,,7505,立達科
,,7509,森岳
,,7513,弘遠數位
,,7514,頂程國際
,,7517,都以特
,,7518,宏泰工
,,7519,歐思佛生技
,,7520,沛美
,,7521,千才生醫
,,7522,亞太開
,,7523,亞科國際
,,7525,綠品生技
,,7529,台鼎
,,7532,華圓設計
,,7534,安博森
,,7536,醫百科技
,,7539,鐵碳企業
,,7540,千華數位文化
,,7541,彬騰
,,7542,宥盛
,,7543,富宸
,,7545,台邦
,,7546,綠野馬術
,,7548,偉喬生醫
,,7554,十鼓文創
,,7557,牧陽能控
,,7562,博來科技
,,7563,吉菓
,,7564,渥爾生醫
,,7565,希摩健康
,,7568,邦柏智慧
,,7569,發條橘子
,,7571,流行時尚
,,7572,好食
,,7573,高曼
,,7574,元健大和
,,7576,丰丹嚴選本舖
,,7577,精彩創意
,,7578,利百景
,,7580,環虹錕騰
,,7581,智觀文創
,,7583,國際海洋
,,7587,環球睿視
,,7588,巨力搬家
,,7589,優思
,,7591,多利生醫
,,7592,艾思特
,,7593,優思睿智科技
,,7596,滙嘉健康
,,7597,呈睿國際
,,7598,大恆資源
,,7600,大麥網路
,,7601,美勢科技
,,7602,三捷科技
,,7603,戴爾美語
,,7604,國聯醫管
,,7605,雲程在線
,,7606,瀚將
,,7607,通用幹細胞
,,7608,久方生技
,,7609,樂居科技
,,7610,聯友金屬
,,7611,京碼
,,7612,寶可齡
,,7613,金嘉隆
,,7614,市民永續
,,7616,朝陽富元
