part,5
name,上櫃認購(售)權證
,,70014P,中美晶兆豐14售01
,,70018P,合晶元富15售03
,,70019P,威剛元富15售03
,,70026P,大江元富15售02
,,70035P,群聯元富15售04
,,70060P,原相群益14售01
,,70061P,精材群益14售01
,,70062P,精材群益15售02
,,70074P,合晶元富15售05
,,70082P,朋程國票15售01
,,70108P,力旺群益15售02
,,70114P,威剛國泰15售01
,,70118P,台半群益14售02
,,70121P,合晶元富16售02
,,70122P,元太國票14售01
,,70130P,力旺群益14售02
,,70131P,世界群益14售01
,,70134P,力旺中信15售02
,,70141P,精測元富14售03
,,70149P,M31國票14售02
,,70153P,力旺元富16售04
,,70155P,合晶元富16售05
,,70158P,力旺統一15售03
,,70159P,博智元富15售01
,,70175P,元太群益16售01
,,70185P,金居凱基14售01
,,70186P,鈊象凱基14售01
,,70187P,力旺國票15售01
,,70188P,驊訊國票14售02
,,70189P,力旺元大14售04
,,70190P,元太元大14售04
,,70191P,湧德元大14售01
,,70192P,聯亞中信14售01
,,70193P,神盾凱基14售01
,,70194P,漢磊凱基14售03
,,70195P,精測凱基14售01
,,70196P,美琪瑪國票14售01
,,70197P,閎康國票14售01
,,70198P,M31元富14售02
,,70199P,湧德群益14售01
,,70200P,漢磊群益14售03
,,70201P,力旺統一14售05
,,70202P,力旺中信17售01
,,70203P,力旺國泰16售01
,,70204P,力旺元大14售05
,,70205P,力旺凱基15售03
,,70206P,朋程凱基14售03
,,70207P,力旺群益14售04
,,70208P,群聯元大14售03
,,70209P,力旺國票14售03
,,70210P,力旺元大14售06
,,70211P,宏捷科群益14售01
,,70212P,威剛群益14售02
,,70213P,驊訊凱基14售03
,,70214P,鈺太國票14售02
,,70215P,精華國票15售02
,,70216P,璟德國票15售02
,,70217P,威剛元富17售01
,,70218P,群聯元富17售03
,,70219P,信驊凱基14售02
,,70220P,鈺創凱基14售06
,,70221P,世界元大14售04
,,70222P,合晶元大14售04
,,70223P,朋程元大14售04
,,70224P,鈺創群益14售04
,,70225P,信驊元大14售03
,,70226P,聚和元大14售01
,,70227P,合晶群益15售02
,,70228P,旺矽群益14售04
,,70229P,茂達國票15售02
,,70230P,撼訊國票15售02
,,70231P,力旺凱基14售02
,,70232P,朋程國票15售03
,,70233P,點序國票14售02
,,70234P,台半凱基14售05
,,70235P,碩禾凱基14售02
,,70236P,鈊象元富17售03
,,70237P,驊訊國票15售02
,,70238P,台半元大14售04
,,70239P,亞信元富14售02
,,70240P,晶焱元大15售02
,,70241P,力旺元富15售01
,,70242P,晶焱元富15售02
,,70243P,晶焱國票15售03
,,70244P,晶焱凱基15售03
,,70245P,精測元富15售02
,,70246P,穩懋元富15售02
,,70247P,晶焱中信15售02
,,70248P,朋程群益15售03
,,70249P,統振群益16售02
,,70250P,元太元富15售01
,,70251P,台半康和15售01
,,70252P,璟德凱基15售02
,,70253P,朋程元大15售03
,,70254P,朋程元富18售01
,,70255P,聯亞元富15售01
,,70256P,精測中信16售02
,,70257P,精測國票16售01
,,70258P,世界凱基15售03
,,70259P,朋程元富18售02
,,70260P,元太元大15售03
,,70261P,精測元大15售06
,,70262P,中光電康和15售01
,,70263P,力旺元大15售03
,,70264P,長科*元大15售03
,,70265P,創惟元大15售02
,,70266P,創惟元大16售01
,,70267P,世界元富15售03
,,70268P,網家國票16售02
,,70269P,力旺元大15售04
,,70270P,台半元富15售01
,,70271P,朋程元富18售05
,,70272P,中光電康和15售04
,,70273P,中光電台新15售02
,,70274P,中光電中信15售03
,,70275P,中光電國票15售03
,,70276P,漢磊國票15售02
,,70277P,力旺凱基15售06
,,70278P,漢磊群益16售05
,,70279P,信驊元大15售02
,,70280P,漢磊元大15售05
,,70281P,漢磊元大15售06
,,70282P,漢磊元富15售02
,,70283P,中光電康和15售07
,,70284P,漢磊康和15售03
,,70285P,力旺元富15售04
,,70286P,驊訊元富18售01
,,70287P,茂達康和15售03
,,70288P,元太元大15售06
,,70289P,驊訊元大15售01
,,70290P,元太中信15售01
,,70291P,元太凱基15售04
,,70292P,元太康和15售02
,,70293P,元太台新15售01
,,70294P,晶焱國票16售01
,,70295P,漢磊統一15售02
,,70296P,漢磊群益15售05
,,70297P,漢磊群益16售06
,,70298P,漢磊凱基15售05
,,70299P,合晶元富18售03
,,70300P,宏捷科元富15售01
,,70301P,威剛元富18售03
,,70302P,晶焱元富15售03
,,70303P,晶焱元大15售07
,,70304P,元太國票16售02
,,70305P,台半國票16售02
,,70306P,中美晶元富15售02
,,70307P,中美晶元富16售04
,,70308P,元太元富15售02
,,70309P,合晶元富18售06
,,70310P,合晶元富18售07
,,70311P,合晶群益16售05
,,70312P,晶焱群益16售03
,,70313P,中美晶國票16售05
,,70314P,佳邦國票16售02
,,70315P,創惟國票16售04
,,70316P,大學光元大15售02
,,70317P,創惟元大15售07
,,70318P,群聯元富18售03
,,70319P,原相凱基15售01
,,70320P,合晶群益17售03
,,70321P,威剛群益16售01
,,70322P,穩懋中信16售01
,,70323P,元太元大16售04
,,70324P,力旺康和16售02
,,70325P,合晶康和16售01
,,70326P,茂達國票17售01
,,70327P,合晶台新16售01
,,70328P,合晶元大16售06
,,70329P,合晶國票16售03
,,70330P,力旺群益18售01
,,70331P,合晶凱基16售04
,,70332P,穩懋富邦18售01
,,70333P,創惟元富19售01
,,70334P,朋程凱基16售03
,,70335P,群聯元大16售07
,,70336P,美琪瑪國票17售02
,,70337P,信驊凱基16售01
,,70338P,網家凱基16售03
,,70339P,漢磊群益17售04
,,70340P,網家群益16售02
,,70341P,中美晶元富16售05
,,70342P,元太統一16售04
,,70343P,漢磊元大16售06
,,70344P,網家元大16售01
,,70345P,光頡元富16售03
,,70346P,漢磊凱基16售05
,,70347P,茂達元大16售03
,,70348P,茂迪康和16售02
,,70349P,元太元富19售03
,,70350P,元太元富19售04
,,70351P,創惟元富19售02
,,70352P,頎邦元富16售02
,,70353P,櫃200群益16售02
,,70354P,萬泰科國票17售02
,,70355P,萬泰科國票17售05
,,70356P,合晶元大16售07
,,70357P,力旺中信18售02
,,70358P,雙鴻國票17售01
,,70359P,合晶凱基17售04
,,70360P,元太元大16售11
,,70361P,穩懋富邦18售03
,,70362P,中美晶元大16售10
,,70363P,亞信元富16售02
,,70364P,茂迪元富16售03
,,70365P,茂達康和16售02
,,70366P,群聯康和16售03
,,70367P,元太中信16售03
,,70368P,元太國票17售04
,,70369P,元太康和16售02
,,70370P,金居元大16售04
,,70371P,茂達元大16售04
