part,34
name,電子期貨
,,EXFA3,電子期貨2023/01
,,EXFB3,電子期貨2023/02
,,EXFC3,電子期貨2023/03
,,EXFF3,電子期貨2023/06
,,EXFI3,電子期貨2023/09
,,EXFL3,電子期貨2023/12
,,ZEFA3,小型電子期貨2023/01
,,ZEFB3,小型電子期貨2023/02
,,ZEFC3,小型電子期貨2023/03
,,ZEFF3,小型電子期貨2023/06
,,ZEFI3,小型電子期貨2023/09
,,ZEFL3,小型電子期貨2023/12
name,金融期貨
,,FXFA3,金融期貨2023/01
,,FXFB3,金融期貨2023/02
,,FXFC3,金融期貨2023/03
,,FXFF3,金融期貨2023/06
,,FXFI3,金融期貨2023/09
,,FXFL3,金融期貨2023/12
name,小型臺指期貨
,,MX2F0,小型臺指期貨2020/06
,,MXFA3,小型臺指期貨2023/01
,,MXFB3,小型臺指期貨2023/02
,,MXFC3,小型臺指期貨2023/03
,,MXFF3,小型臺指期貨2023/06
,,MXFI3,小型臺指期貨2023/09
,,MXFL3,小型臺指期貨2023/12
,,ZFFA3,小型金融期貨2023/01
,,ZFFB3,小型金融期貨2023/02
,,ZFFC3,小型金融期貨2023/03
,,ZFFF3,小型金融期貨2023/06
,,ZFFI3,小型金融期貨2023/09
,,ZFFL3,小型金融期貨2023/12
name,臺灣50指數期貨
,,T5FC3,臺灣50指數期貨2023/03
,,T5FF3,臺灣50指數期貨2023/06
name,臺股期貨
,,PEFA3,台半股票期貨2023/01
,,PEFB3,台半股票期貨2023/02
,,PEFC3,台半股票期貨2023/03
,,PEFF3,台半股票期貨2023/06
,,PEFI3,台半股票期貨2023/09
,,TXFA3,臺股期貨2023/01
,,TXFB3,臺股期貨2023/02
,,TXFC3,臺股期貨2023/03
,,TXFF3,臺股期貨2023/06
,,TXFI3,臺股期貨2023/09
,,TXFL3,臺股期貨2023/12
name,黃金期貨(USD)
,,GDFB3,黃金期貨(USD)2023/02
,,GDFD3,黃金期貨(USD)2023/04
,,GDFF3,黃金期貨(USD)2023/06
,,GDFH3,黃金期貨(USD)2023/08
,,GDFJ3,黃金期貨(USD)2023/10
,,GDFL3,黃金期貨(USD)2023/12
name,櫃買期貨
,,G2FA3,富櫃200期貨2023/01
,,G2FB3,富櫃200期貨2023/02
,,G2FC3,富櫃200期貨2023/03
,,G2FF3,富櫃200期貨2023/06
,,G2FI3,富櫃200期貨2023/09
,,G2FL3,富櫃200期貨2023/12
,,GTFA3,櫃買期貨2023/01
,,GTFB3,櫃買期貨2023/02
,,GTFC3,櫃買期貨2023/03
,,GTFF3,櫃買期貨2023/06
,,GTFI3,櫃買期貨2023/09
,,GTFL3,櫃買期貨2023/12
name,非金電期貨
,,XIFA3,非金電期貨2023/01
,,XIFB3,非金電期貨2023/02
,,XIFC3,非金電期貨2023/03
,,XIFF3,非金電期貨2023/06
,,XIFI3,非金電期貨2023/09
,,XIFL3,非金電期貨2023/12
name,臺幣黃金期貨
,,TGFB3,臺幣黃金期貨2023/02
,,TGFD3,臺幣黃金期貨2023/04
,,TGFF3,臺幣黃金期貨2023/06
,,TGFH3,臺幣黃金期貨2023/08
,,TGFJ3,臺幣黃金期貨2023/10
,,TGFL3,臺幣黃金期貨2023/12
name,股票期貨
,,CAFA3,南亞股票期貨2023/01
,,CAFB3,南亞股票期貨2023/02
,,CAFC3,南亞股票期貨2023/03
,,CAFF3,南亞股票期貨2023/06
,,CAFI3,南亞股票期貨2023/09
,,CBFA3,中鋼股票期貨2023/01
,,CBFB3,中鋼股票期貨2023/02
,,CBFC3,中鋼股票期貨2023/03
,,CBFF3,中鋼股票期貨2023/06
,,CBFI3,中鋼股票期貨2023/09
,,CCFA3,聯電股票期貨2023/01
,,CCFB3,聯電股票期貨2023/02
,,CCFC3,聯電股票期貨2023/03
,,CCFF3,聯電股票期貨2023/06
,,CCFI3,聯電股票期貨2023/09
,,CDFA3,臺積電股票期貨2023/01
,,CDFB3,臺積電股票期貨2023/02
,,CDFC3,臺積電股票期貨2023/03
,,CDFF3,臺積電股票期貨2023/06
,,CDFI3,臺積電股票期貨2023/09
,,CE1C3,富邦金股票期貨2023/03
,,CEFA3,富邦金股票期貨2023/01
,,CEFB3,富邦金股票期貨2023/02
,,CEFC3,富邦金股票期貨2023/03
,,CEFF3,富邦金股票期貨2023/06
,,CEFI3,富邦金股票期貨2023/09
,,CFFA3,台塑股票期貨2023/01
,,CFFB3,台塑股票期貨2023/02
,,CFFC3,台塑股票期貨2023/03
,,CFFF3,台塑股票期貨2023/06
,,CFFI3,台塑股票期貨2023/09
,,CGFA3,仁寶股票期貨2023/01
,,CGFB3,仁寶股票期貨2023/02
,,CGFC3,仁寶股票期貨2023/03
,,CGFF3,仁寶股票期貨2023/06
,,CGFI3,仁寶股票期貨2023/09
,,CH1C3,友達股票期貨2023/03
,,CH1F3,友達股票期貨2023/06
,,CHFA3,友達股票期貨2023/01
,,CHFB3,友達股票期貨2023/02
,,CHFC3,友達股票期貨2023/03
,,CHFF3,友達股票期貨2023/06
,,CHFI3,友達股票期貨2023/09
,,CJFA3,華南金股票期貨2023/01
,,CJFB3,華南金股票期貨2023/02
,,CJFC3,華南金股票期貨2023/03
,,CJFF3,華南金股票期貨2023/06
,,CJFI3,華南金股票期貨2023/09
,,CK1A3,國泰金股票期貨2023/01
,,CK1C3,國泰金股票期貨2023/03
,,CK1F3,國泰金股票期貨2023/06
,,CK1I3,國泰金股票期貨2023/09
,,CKFA3,國泰金股票期貨2023/01
,,CKFB3,國泰金股票期貨2023/02
,,CKFC3,國泰金股票期貨2023/03
,,CKFF3,國泰金股票期貨2023/06
,,CKFI3,國泰金股票期貨2023/09
,,CLFA3,兆豐金股票期貨2023/01
,,CLFB3,兆豐金股票期貨2023/02
,,CLFC3,兆豐金股票期貨2023/03
,,CLFF3,兆豐金股票期貨2023/06
,,CLFI3,兆豐金股票期貨2023/09
,,CM1C3,台新金股票期貨2023/03
,,CMFA3,台新金股票期貨2023/01
,,CMFB3,台新金股票期貨2023/02
,,CMFC3,台新金股票期貨2023/03
,,CMFF3,台新金股票期貨2023/06
,,CMFI3,台新金股票期貨2023/09
,,CNFA3,中信金股票期貨2023/01
,,CNFB3,中信金股票期貨2023/02
,,CNFC3,中信金股票期貨2023/03
,,CNFF3,中信金股票期貨2023/06
,,CNFI3,中信金股票期貨2023/09
,,CQFA3,統一股票期貨2023/01
,,CQFB3,統一股票期貨2023/02
,,CQFC3,統一股票期貨2023/03
,,CQFF3,統一股票期貨2023/06
,,CQFI3,統一股票期貨2023/09
,,CRFA3,遠東新股票期貨2023/01
,,CRFB3,遠東新股票期貨2023/02
,,CRFC3,遠東新股票期貨2023/03
,,CRFF3,遠東新股票期貨2023/06
,,CRFI3,遠東新股票期貨2023/09
,,CSFA3,華新股票期貨2023/01
,,CSFB3,華新股票期貨2023/02
,,CSFC3,華新股票期貨2023/03
,,CSFF3,華新股票期貨2023/06
,,CSFI3,華新股票期貨2023/09
,,CUFA3,中環股票期貨2023/01
,,CUFB3,中環股票期貨2023/02
,,CUFC3,中環股票期貨2023/03
,,CUFF3,中環股票期貨2023/06
,,CUFI3,中環股票期貨2023/09
,,CWFA3,佳世達股票期貨2023/01
,,CWFB3,佳世達股票期貨2023/02
,,CWFC3,佳世達股票期貨2023/03
,,CWFF3,佳世達股票期貨2023/06
,,CWFI3,佳世達股票期貨2023/09
,,CYFA3,南亞科股票期貨2023/01
,,CYFB3,南亞科股票期貨2023/02
,,CYFC3,南亞科股票期貨2023/03
,,CYFF3,南亞科股票期貨2023/06
,,CYFI3,南亞科股票期貨2023/09
,,CZ1C3,長榮股票期貨2023/03
,,CZ1F3,長榮股票期貨2023/06
,,CZFA3,長榮股票期貨2023/01
,,CZFB3,長榮股票期貨2023/02
,,CZFC3,長榮股票期貨2023/03
,,CZFF3,長榮股票期貨2023/06
,,CZFI3,長榮股票期貨2023/09
,,DAFA3,陽明股票期貨2023/01
,,DAFB3,陽明股票期貨2023/02
,,DAFC3,陽明股票期貨2023/03
,,DAFF3,陽明股票期貨2023/06
,,DAFI3,陽明股票期貨2023/09
,,DBFA3,華航股票期貨2023/01
,,DBFB3,華航股票期貨2023/02
,,DBFC3,華航股票期貨2023/03
,,DBFF3,華航股票期貨2023/06
,,DBFI3,華航股票期貨2023/09
,,DCFA3,彰銀股票期貨2023/01
,,DCFB3,彰銀股票期貨2023/02
,,DCFC3,彰銀股票期貨2023/03
,,DCFF3,彰銀股票期貨2023/06
,,DCFI3,彰銀股票期貨2023/09
,,DDFA3,新光金股票期貨2023/01
,,DDFB3,新光金股票期貨2023/02
,,DDFC3,新光金股票期貨2023/03
,,DDFF3,新光金股票期貨2023/06
,,DDFI3,新光金股票期貨2023/09
,,DEFA3,永豐金股票期貨2023/01
,,DEFB3,永豐金股票期貨2023/02
,,DEFC3,永豐金股票期貨2023/03
,,DEFF3,永豐金股票期貨2023/06
,,DEFI3,永豐金股票期貨2023/09
,,DF1C3,台泥股票期貨2023/03
,,DFFA3,台泥股票期貨2023/01
,,DFFB3,台泥股票期貨2023/02
,,DFFC3,台泥股票期貨2023/03
,,DFFF3,台泥股票期貨2023/06
,,DFFI3,台泥股票期貨2023/09
,,DGFA3,台化股票期貨2023/01
,,DGFB3,台化股票期貨2023/02
,,DGFC3,台化股票期貨2023/03
,,DGFF3,台化股票期貨2023/06
,,DGFI3,台化股票期貨2023/09
,,DHFA3,鴻海股票期貨2023/01
,,DHFB3,鴻海股票期貨2023/02
,,DHFC3,鴻海股票期貨2023/03
,,DHFF3,鴻海股票期貨2023/06
,,DHFI3,鴻海股票期貨2023/09
,,DIFA3,旺宏股票期貨2023/01
,,DIFB3,旺宏股票期貨2023/02
,,DIFC3,旺宏股票期貨2023/03
,,DIFF3,旺宏股票期貨2023/06
,,DIFI3,旺宏股票期貨2023/09
,,DJFA3,華碩股票期貨2023/01
,,DJFB3,華碩股票期貨2023/02
,,DJFC3,華碩股票期貨2023/03
,,DJFF3,華碩股票期貨2023/06
,,DJFI3,華碩股票期貨2023/09
