part,1
name,
,,IN0111,臺韓科技淨報酬指數
,,IR0001,臺股酬指指數
,,IR0009,非金電酬指指數
,,IR0010,水泥類報酬指數
,,IR0011,食品類報酬指數
,,IR0012,塑膠類報酬指數
,,IR0016,紡織纖維類報酬指數
,,IR0017,電機機械類報酬指數
,,IR0018,電器電纜類報酬指數
,,IR0019,化學生技醫療類報酬指數
,,IR0020,化學類報酬指數
,,IR0021,生技醫療類報酬指數
,,IR0022,玻璃陶瓷類報酬指數
,,IR0023,造紙類報酬指數
,,IR0024,鋼鐵類報酬指數
,,IR0025,橡樛類報酬指數
,,IR0026,汔車類報酬指數
,,IR0027,電子類報酬指數
,,IR0028,半導體類報酬指數
,,IR0029,電腦週邊類報酬指數
,,IR0030,光電類報酬指數
,,IR0031,網通類報酬指數
,,IR0032,電零類報酬指數
,,IR0033,電通類報酬指數
,,IR0034,資服類報酬指數
,,IR0035,其他電子類報酬指數
,,IR0036,營建類報酬指數
,,IR0037,航運類報酬指數
,,IR0038,觀光類報酬指數
,,IR0039,金融類報酬指數
,,IR0040,貿易百貨類報酬指數
,,IR0041,油電燃氣類報酬指數
,,IR0042,其他類報酬指數
,,IR0043,櫃買報酬指數
,,IR0044,櫃買紡纖類報酬指數
,,IR0045,櫃買機械類報酬指數
,,IR0046,櫃買鋼鐵類報酬指數
,,IR0047,櫃買電子類報酬指數
,,IR0048,櫃買營建類報酬指數
,,IR0049,櫃買航運類報酬指數
,,IR0050,櫃買觀光類報酬指數
,,IR0051,櫃買化工類報酬指數
,,IR0052,櫃買生技醫報酬指數
,,IR0053,櫃買半導體報酬指數
,,IR0054,櫃買電腦週報酬指數
,,IR0055,櫃買光電類報酬指數
,,IR0056,櫃買網通類報酬指數
,,IR0057,櫃買電子零報酬指數
,,IR0058,櫃買電通類報酬指數
,,IR0059,櫃買資服類報酬指數
,,IR0060,富櫃50報酬指數
,,IR0061,就業99報酬指數
,,IR0075,櫃買文創業報酬指數
,,IR0077,高殖利率報酬指數
,,IR0078,寶島報酬指數
,,IR0079,就業88報酬指數
,,IR0080,高薪100報酬
,,IR0081,薪酬報酬指數
,,IR0082,臺灣公司治理100報酬指數
,,IR0085,公司治理報酬指數
,,IR0088,小型股300報酬指數
,,IR0091,漲升股利150報酬指數
,,IR0093,藍籌30報酬指數
,,IR0094,工業菁英30報酬指數
,,IR0095,電子菁英30報酬指數
,,IR0096,低波動股利精選30報酬指數
,,IR0099,櫃買其他電報酬指數
,,IR0100,櫃買其他報酬指數
,,IR0102,中小型A級動能50報酬指數
,,IR0103,臺灣生技報酬指數
,,IR0104,特選高息低波報酬指數
,,IR0105,臺灣永續報酬指數
,,IR0107,特選內需高收益報酬指數
,,IR0108,臺灣中小型公司治理報酬指數
,,IR0109,臺灣IPO報酬指數
,,IR0110,價值投資報酬指數
,,IR0111,臺韓科技報酬指數
,,IR0112,存股雙十等權重報酬指數
,,IR0113,特選大蘋果報酬指數
,,IR0114,中小型300報酬指數
,,IR0115,特股高息20報酬指數
,,IR0116,臺灣500報酬指數
,,IR0118,富櫃200報酬
,,IR0119,臺灣勞工權益報酬指數
,,IR0120,微波高息精選20報酬指數
,,IR0122,特選世代行動通訊報酬指數
,,IR0123,臺灣50權重上限30%報酬指數
,,IR0124,智慧投資多因子30報酬指數
,,IR0125,智慧中立報酬指數
,,IR0127,特選大蘋果報酬正向兩倍指數
,,IR0128,特選大蘋果報酬反向一倍指數
,,IR0129,加權指數掩護性臺指買權價外5%報酬指數
,,IR0130,特選價值成長報酬指數
,,IR0131,臺灣5G報酬指數
,,IR0132,臺灣電動車報酬指數
,,IR0133,臺灣企業社會責任中小型報酬指數
,,IR0134,臺灣上櫃永續報酬指數
,,IR0135,特選臺灣電動車代表報酬指數
,,IR0136,特選台股領航報酬指數
,,IR0137,特選SMART多因子報酬指數
,,IR0138,Quality 50報酬指數
,,IR0139,臺灣5G+通訊報酬指數
,,IR0140,櫃買半導體領航報酬指數
,,IR0141,富櫃200報酬正向2倍指數
,,IR0142,臺灣全市場報酬指數
,,IR0143,臺灣全市場半導體報酬指數
,,IR0144,特選機電類上限10%報酬指數
,,IR0145,臺灣電動車與自駕科技永續概念報酬指數
,,IR0146,臺灣智慧移動與電動車報酬指數
,,IR0147,特選ESG高股息報酬指數
,,IR0148,特選上櫃ESG成長報酬指數
,,IR0149,特選上櫃ESG電子菁英報酬指數
,,IR0150,特選小資高價30報酬指數
,,IR0151,特選臺灣核心戰略建設報酬指數
,,IR0152,特選臺灣綠能及電動車報酬指數
,,IR0153,特選臺灣智能車供應鏈聯盟報酬指數
,,IR0154,臺灣全市場半導體精選30報酬指數
,,IR0155,特選臺灣高股息30報酬指數
,,IR0156,臺灣友善環境報酬指數
,,IR0157,新臺灣高股息報酬指數
,,IR0158,台灣永續價值報酬指數
,,IR0159,特選臺灣IC設計報酬指數
,,IR0160,臺灣優息存股報酬指數
,,IR0161,特選臺灣環境永續高股息報酬指數
,,IR0162,臺灣友善環境50報酬指數
,,IR0163,特選台灣策略高股息30報酬指數
,,IR0164,特選臺灣IC設計產業代表報酬指數
,,IR0165,特選臺灣綠能報酬指數
,,IR0166,特選臺灣成長高股息報酬指數
,,IR0167,特選臺灣智慧50報酬指數
,,IR0168,特選臺灣標竿PCB報酬指數
,,IX0001,臺股指數
,,IX0002,臺50指數
,,IX0003,中100指數
,,IX0004,科技指數
,,IX0005,發達指數
,,IX0006,高股息指數
,,IX0007,非金指數
,,IX0008,非電指數
,,IX0009,非金電指數
,,IX0010,水泥類
,,IX0011,食品類
,,IX0012,塑膠類
,,IX0013,水泥窯製類
,,IX0014,塑化類
,,IX0015,機電類
,,IX0016,紡纖類
,,IX0017,電機類
,,IX0018,電器電纜類
,,IX0019,化學生醫類
,,IX0020,化學類
,,IX0021,生醫類
,,IX0022,玻璃陶瓷類
,,IX0023,造紙類
,,IX0024,鋼鐵類
,,IX0025,橡膠類
,,IX0026,汽車類
,,IX0027,電子類
,,IX0028,半導體類
,,IX0029,電腦週邊類
,,IX0030,光電類
,,IX0031,網通類
,,IX0032,電零類
,,IX0033,電通類
,,IX0034,資服類
,,IX0035,其他電子類
,,IX0036,營建類
,,IX0037,航運類
,,IX0038,觀光類
,,IX0039,金融類
,,IX0040,貿易百貨類
,,IX0041,油電燃氣類
,,IX0042,其他類
,,IX0043,櫃買指數
,,IX0044,櫃買紡纖類
,,IX0045,櫃買機械類
,,IX0046,櫃買鋼鐵類
,,IX0047,櫃買電子類
,,IX0048,櫃買營建類
,,IX0049,櫃買航運類
,,IX0050,櫃買觀光類
,,IX0051,櫃買化工類
,,IX0052,櫃買生技醫
,,IX0053,櫃買半導體
,,IX0054,櫃買電腦週
,,IX0055,櫃買光電類
,,IX0056,櫃買網通類
,,IX0057,櫃買電子零
,,IX0058,櫃買電通類
,,IX0059,櫃買資服類
,,IX0060,富櫃50指數
,,IX0061,就業99指數
,,IX0062,指標公債指數
,,IX0065,櫃買食品類
,,IX0066,櫃買塑膠類
,,IX0067,櫃買電器電纜類
,,IX0068,櫃買玻璃陶瓷類
,,IX0069,櫃買橡膠類
,,IX0071,櫃買金融業類
,,IX0072,櫃買貿易百貨類
,,IX0073,櫃買油電燃氣業類
,,IX0075,櫃買文創業類
,,IX0077,高殖利率指數
,,IX0078,寶島指數
,,IX0079,櫃買就業88指數
,,IX0080,高薪100
,,IX0081,薪酬指數
,,IX0082,臺灣公司治理100指數
,,IX0083,電子類兩倍槓桿指數
,,IX0084,電子類反向指數
,,IX0085,櫃買公司治理指數
,,IX0086,臺指日報酬兩倍指數
,,IX0087,臺指反向一倍指數
,,IX0088,小型股300指數
,,IX0089,金融類日報酬兩倍指數
,,IX0090,金融類日報酬反向一倍指數
,,IX0091,漲升股利150指數
,,IX0093,藍籌30指數
,,IX0094,工業菁英30指數
,,IX0095,電子菁英30指數
,,IX0096,低波動股利精選30指數
,,IX0099,櫃買其他電
,,IX0100,櫃買其他
,,IX0102,中小型A級動能50指數
,,IX0103,臺灣生技指數
,,IX0104,特選高息低波指數
,,IX0105,臺灣永續指數
,,IX0107,特選內需高收益指數
,,IX0108,臺灣中小型公司治理指數
,,IX0109,臺灣IPO指數
,,IX0110,價值投資指數
,,IX0111,臺韓科技指數
,,IX0112,存股雙十等權重指數
,,IX0113,特選大蘋果指數
,,IX0114,中小型300指數
,,IX0115,特股高息20指數
,,IX0116,臺灣500指數
,,IX0118,富櫃200
,,IX0119,臺灣勞工權益指數
,,IX0120,微波高息精選20指數
,,IX0122,特選世代行動通訊指數
,,IX0123,臺灣50權重上限30%指數
,,IX0124,智慧投資多因子30指數
,,IX0125,智慧中立指數
,,IX0126,臺股期貨指數
,,IX0130,特選價值成長指數
,,IX0131,臺灣5G指數
,,IX0132,臺灣電動車指數
,,IX0133,臺灣企業社會責任中小型指數
,,IX0134,臺灣上櫃永續指數
,,IX0135,特選臺灣電動車代表指數
,,IX0136,特選台股領航指數
,,IX0137,特選SMART多因子指數
,,IX0138,Quality 50指數
,,IX0139,臺灣5G+通訊指數
,,IX0142,臺灣全市場指數
,,IX0143,臺灣全市場半導體指數
,,IX0145,臺灣電動車與自駕科技永續概念指數
,,IX0146,臺灣智慧移動與電動車指數
,,IX0147,特選ESG高股息指數
,,IX0148,特選上櫃ESG成長指數
,,IX0149,特選上櫃ESG電子菁英指數
,,IX0150,特選小資高價30指數
,,IX0152,特選臺灣綠能及電動車指數
,,IX0153,特選臺灣智能車供應鏈聯盟指數
,,IX0154,臺灣全市場半導體精選30指數
,,IX0155,特選臺灣高股息30指數
,,IX0156,臺灣友善環境指數
,,IX0157,新臺灣高股息指數
,,IX0158,台灣永續價值指數
,,IX0159,特選臺灣IC設計指數
,,IX0160,臺灣優息存股指數
,,IX0161,特選臺灣環境永續高股息指數
,,IX0162,臺灣友善環境50指數
,,IX0163,特選台灣策略高股息30指數
,,IX0164,特選臺灣IC設計產業代表指數
,,IX0165,特選臺灣綠能指數
,,IX0166,特選臺灣成長高股息指數
,,IX0167,特選臺灣智慧50指數
,,IX0168,特選臺灣標竿PCB指數
