日期,買入,賣出
2022/01/27,49749.00,50239.00
2022/01/26,50628.00,51118.00
2022/01/25,50904.00,51394.00
2022/01/24,50467.00,50957.00
2022/01/22,50529.00,51019.00
2022/01/21,50543.00,51033.00
2022/01/20,50714.00,51204.00
2022/01/19,50520.00,51010.00
2022/01/18,49923.00,50413.00
2022/01/17,49933.00,50423.00
2022/01/14,50043.00,50533.00
2022/01/13,49996.00,50486.00
2022/01/12,50182.00,50672.00
2022/01/11,49798.00,50288.00
2022/01/10,49406.00,49896.00
2022/01/07,49350.00,49840.00
2022/01/06,49260.00,49750.00
2022/01/05,50108.00,50598.00
2022/01/04,49792.00,50282.00
2022/01/03,49584.00,50074.00
2021/12/30,49960.00,50450.00
2021/12/29,49566.00,50056.00
2021/12/28,49950.00,50440.00
2021/12/27,49967.00,50457.00
2021/12/24,49911.00,50401.00
2021/12/23,49903.00,50393.00
2021/12/22,49616.00,50106.00
2021/12/21,49480.00,49970.00
2021/12/20,49711.00,50201.00
2021/12/17,49884.00,50374.00
2021/12/16,49719.00,50209.00
2021/12/15,48890.00,49380.00
2021/12/14,49036.00,49526.00
2021/12/13,49441.00,49931.00
2021/12/10,49220.00,49710.00
2021/12/09,49052.00,49542.00
2021/12/08,49181.00,49671.00
2021/12/07,49245.00,49735.00
2021/12/06,49141.00,49631.00
2021/12/03,48823.00,49313.00
2021/12/02,48839.00,49329.00
2021/12/01,49377.00,49867.00
2021/11/30,49178.00,49668.00
2021/11/29,49451.00,49941.00
2021/11/26,49765.00,50255.00
2021/11/25,49492.00,49982.00
2021/11/24,49314.00,49804.00
2021/11/23,49385.00,49875.00
2021/11/22,50162.00,50652.00
2021/11/19,51418.00,51908.00
2021/11/18,51514.00,52004.00
2021/11/17,51664.00,52154.00
2021/11/16,51560.00,52050.00
2021/11/15,51482.00,51972.00
2021/11/12,51577.00,52067.00
2021/11/11,51582.00,52072.00
2021/11/10,51405.00,51895.00
2021/11/09,50331.00,50821.00
2021/11/08,50451.00,50941.00
2021/11/05,50184.00,50674.00
2021/11/04,49779.00,50269.00
2021/11/03,48784.00,49274.00
2021/11/02,49610.00,50100.00
2021/11/01,49633.00,50123.00
2021/10/29,49271.00,49761.00
2021/10/28,49921.00,50411.00
2021/10/27,49615.00,50105.00
2021/10/26,49521.00,50011.00
2021/10/25,50142.00,50632.00
2021/10/22,49543.00,50033.00
2021/10/21,49410.00,49900.00
2021/10/20,49530.00,50020.00
2021/10/19,49214.00,49704.00
2021/10/18,49293.00,49783.00
2021/10/15,49284.00,49774.00
2021/10/14,50239.00,50729.00
2021/10/13,50196.00,50686.00
2021/10/12,49360.00,49850.00
2021/10/08,49040.00,49530.00
2021/10/07,48918.00,49408.00
2021/10/06,48892.00,49382.00
2021/10/05,48670.00,49160.00
2021/10/04,48866.00,49356.00
2021/10/01,48798.00,49288.00
2021/09/30,48716.00,49206.00
2021/09/29,47864.00,48354.00
2021/09/28,48048.00,48538.00
2021/09/27,48337.00,48827.00
2021/09/24,48332.00,48822.00
2021/09/23,48286.00,48776.00
2021/09/22,49080.00,49570.00
2021/09/17,48368.00,48858.00
2021/09/16,48384.00,48874.00
2021/09/15,49344.00,49834.00
2021/09/14,49817.00,50307.00
2021/09/13,49497.00,49987.00
2021/09/11,49294.00,49784.00
2021/09/10,49428.00,49918.00
2021/09/09,49395.00,49885.00
2021/09/08,49487.00,49977.00
2021/09/07,49291.00,49781.00
2021/09/06,50067.00,50557.00
2021/09/03,50363.00,50853.00
2021/09/02,50005.00,50495.00
2021/09/01,50026.00,50516.00
2021/08/31,49992.00,50482.00
2021/08/30,50097.00,50587.00
2021/08/27,50366.00,50856.00
2021/08/26,49839.00,50329.00
2021/08/25,49608.00,50098.00
2021/08/24,50227.00,50717.00
2021/08/23,50229.00,50719.00
2021/08/20,49735.00,50225.00
2021/08/19,49579.00,50069.00
2021/08/18,49295.00,49785.00
2021/08/17,49427.00,49917.00
2021/08/16,49508.00,49998.00
2021/08/13,49250.00,49740.00
2021/08/12,48402.00,48892.00
2021/08/11,48430.00,48920.00
2021/08/10,47837.00,48327.00
2021/08/09,47917.00,48407.00
2021/08/06,48753.00,49243.00
2021/08/05,49802.00,50292.00
2021/08/04,50067.00,50557.00
2021/08/03,50290.00,50780.00
2021/08/02,50436.00,50926.00
2021/07/30,50532.00,51022.00
2021/07/29,50873.00,51363.00
2021/07/28,50153.00,50643.00
2021/07/27,50312.00,50802.00
2021/07/26,50235.00,50725.00
2021/07/23,50284.00,50774.00
2021/07/22,50307.00,50797.00
2021/07/21,50417.00,50907.00
2021/07/20,50525.00,51015.00
2021/07/19,50370.00,50860.00
2021/07/16,50515.00,51005.00
2021/07/15,50648.00,51138.00
2021/07/14,50798.00,51288.00
2021/07/13,50438.00,50928.00
2021/07/12,50256.00,50746.00
2021/07/09,50481.00,50971.00
2021/07/08,50032.00,50522.00
2021/07/07,50218.00,50708.00
2021/07/06,50064.00,50554.00
2021/07/05,49721.00,50211.00
2021/07/02,49655.00,50145.00
2021/07/01,49129.00,49619.00
2021/06/30,49021.00,49511.00
2021/06/29,48869.00,49359.00
2021/06/28,49397.00,49887.00
2021/06/25,49340.00,49830.00
2021/06/24,49552.00,50042.00
2021/06/23,49785.00,50275.00
2021/06/22,49455.00,49945.00
2021/06/21,49529.00,50019.00
2021/06/18,49023.00,49513.00
2021/06/17,48889.00,49379.00
2021/06/16,51164.00,51654.00
2021/06/15,51211.00,51701.00
2021/06/11,51644.00,52134.00
2021/06/10,52092.00,52582.00
2021/06/09,52246.00,52736.00
2021/06/08,52177.00,52667.00
2021/06/07,52208.00,52698.00
2021/06/04,52155.00,52645.00
2021/06/03,51585.00,52075.00
2021/06/02,52476.00,52966.00
2021/06/01,52246.00,52736.00
2021/05/31,52353.00,52843.00
2021/05/28,52362.00,52852.00
2021/05/27,52275.00,52765.00
2021/05/26,52638.00,53128.00
2021/05/25,52466.00,52956.00
2021/05/24,52398.00,52888.00
2021/05/21,52116.00,52606.00
2021/05/20,52341.00,52831.00
2021/05/19,52433.00,52923.00
2021/05/18,51952.00,52442.00
2021/05/17,52059.00,52549.00
2021/05/14,51267.00,51757.00
2021/05/13,50779.00,51269.00
2021/05/12,50623.00,51113.00
2021/05/11,50845.00,51335.00
2021/05/10,50909.00,51399.00
2021/05/07,50971.00,51461.00
2021/05/06,50502.00,50992.00
2021/05/05,49583.00,50073.00
2021/05/04,49565.00,50055.00
2021/05/03,49881.00,50371.00
2021/04/29,49152.00,49642.00
2021/04/28,49316.00,49806.00
2021/04/27,49375.00,49865.00
2021/04/26,49474.00,49964.00
2021/04/23,49664.00,50154.00
2021/04/22,49836.00,50326.00
2021/04/21,50237.00,50727.00
2021/04/20,49633.00,50123.00
2021/04/19,49810.00,50300.00
2021/04/16,50151.00,50641.00
2021/04/15,49826.00,50316.00
2021/04/14,49067.00,49557.00
2021/04/13,49382.00,49872.00
2021/04/12,49103.00,49593.00
2021/04/09,49356.00,49846.00
2021/04/08,49635.00,50125.00
2021/04/07,49273.00,49763.00
2021/04/06,49450.00,49940.00
2021/04/01,48980.00,49470.00
2021/03/31,48525.00,49015.00
2021/03/30,47754.00,48244.00
2021/03/29,48608.00,49098.00
2021/03/26,49355.00,49845.00
2021/03/25,49370.00,49860.00
2021/03/24,49141.00,49631.00
2021/03/23,48916.00,49406.00
2021/03/22,49202.00,49692.00
2021/03/19,49233.00,49723.00
2021/03/18,48713.00,49203.00
2021/03/17,48684.00,49174.00
2021/03/16,48736.00,49226.00
2021/03/15,48540.00,49030.00
2021/03/12,47827.00,48317.00
2021/03/11,48324.00,48814.00
2021/03/10,48397.00,48887.00
2021/03/09,48469.00,48959.00
2021/03/08,47312.00,47802.00
2021/03/05,47161.00,47651.00
2021/03/04,47498.00,47988.00
2021/03/03,47236.00,47726.00
2021/03/02,47856.00,48346.00
